branch,feature,mean_abs_shap
efficientnet_b0_image_encoder,efficientnet_feature_346,0.001547583881972514
efficientnet_b0_image_encoder,efficientnet_feature_347,0.00488904114001798
efficientnet_b0_image_encoder,efficientnet_feature_348,0.00045706049513682956
efficientnet_b0_image_encoder,efficientnet_feature_349,0.003222667239413113
efficientnet_b0_image_encoder,efficientnet_feature_350,0.0023319771754017893
efficientnet_b0_image_encoder,efficientnet_feature_351,0.00034795797554743046
efficientnet_b0_image_encoder,efficientnet_feature_352,0.001370519989194463
efficientnet_b0_image_encoder,efficientnet_feature_353,0.00023062769145520967
efficientnet_b0_image_encoder,efficientnet_feature_354,0.005525560458863765
efficientnet_b0_image_encoder,efficientnet_feature_355,0.003241239563067211
efficientnet_b0_image_encoder,efficientnet_feature_356,0.00026740796618085483
efficientnet_b0_image_encoder,efficientnet_feature_357,0.0006200630219090897
efficientnet_b0_image_encoder,efficientnet_feature_358,0.011141218147486143
efficientnet_b0_image_encoder,efficientnet_feature_359,0.0043573520139261745
efficientnet_b0_image_encoder,efficientnet_feature_360,0.0003252221510194886
efficientnet_b0_image_encoder,efficientnet_feature_361,0.0033642223547758476
efficientnet_b0_image_encoder,efficientnet_feature_362,0.0024665365739338085
efficientnet_b0_image_encoder,efficientnet_feature_363,0.008535462457302856
efficientnet_b0_image_encoder,efficientnet_feature_364,0.006235002477978924
efficientnet_b0_image_encoder,efficientnet_feature_365,8.046220581148233e-05
efficientnet_b0_image_encoder,efficientnet_feature_366,0.006105109865757186
efficientnet_b0_image_encoder,efficientnet_feature_367,0.001447612128572473
efficientnet_b0_image_encoder,efficientnet_feature_368,0.0025613752274580293
efficientnet_b0_image_encoder,efficientnet_feature_369,0.0064076902009162495
efficientnet_b0_image_encoder,efficientnet_feature_370,0.001127730612424216
efficientnet_b0_image_encoder,efficientnet_feature_371,0.0031865447237748867
efficientnet_b0_image_encoder,efficientnet_feature_372,0.006073200109199206
efficientnet_b0_image_encoder,efficientnet_feature_373,0.0060387462151538784
efficientnet_b0_image_encoder,efficientnet_feature_374,0.000524007957658057
efficientnet_b0_image_encoder,efficientnet_feature_375,0.0005178412497741647
efficientnet_b0_image_encoder,efficientnet_feature_376,0.00392237310042276
efficientnet_b0_image_encoder,efficientnet_feature_377,0.000917966329183173
efficientnet_b0_image_encoder,efficientnet_feature_378,0.0017329640072034636
efficientnet_b0_image_encoder,efficientnet_feature_379,0.004142750978417098
efficientnet_b0_image_encoder,efficientnet_feature_380,0.0013454947036208864
efficientnet_b0_image_encoder,efficientnet_feature_381,0.005227677239872719
efficientnet_b0_image_encoder,efficientnet_feature_382,0.008941270929199163
efficientnet_b0_image_encoder,efficientnet_feature_383,0.0032060585430429
efficientnet_b0_image_encoder,efficientnet_feature_384,0.0009049793821027663
efficientnet_b0_image_encoder,efficientnet_feature_385,0.003637870741528104
efficientnet_b0_image_encoder,efficientnet_feature_386,0.0063913462267919385
efficientnet_b0_image_encoder,efficientnet_feature_387,0.0033987205305834323
